Scientific name,Name status,Group,Source database
"Alcyonidium  sanguineum    Cook, 1985","accepted name","Animalia","WoRMS Bryozoa"
"Alcyonidium  scolecoideum    Porter & Hayward, 2004","accepted name","Animalia","WoRMS Bryozoa"
"Alcyonidium  shizuoi    d'Hondt & Mawatari, 1986","accepted name","Animalia","WoRMS Bryozoa"
"Alcyonidium  simulatum    Porter & Hayward, 2004","accepted name","Animalia","WoRMS Bryozoa"
"Alcyonidium  torpedo    d'Hondt, 2006","accepted name","Animalia","WoRMS Bryozoa"
"Alcyonidium  variegatum    Prouho, 1892","accepted name","Animalia","WoRMS Bryozoa"
"Alcyonidium  verrilli    Osburn, 1912","accepted name","Animalia","WoRMS Bryozoa"
"Alcyonidium  vicarians    d'Hondt & Chimenz Gusso, 2006","accepted name","Animalia","WoRMS Bryozoa"
"Alcyonidium (Paralcyonidium) vermiculare    Okada, 1925","accepted name","Animalia","WoRMS Bryozoa"
"Alderina  brevispina    (O'Donoghue & O'Donoghue, 1926)","accepted name","Animalia","WoRMS Bryozoa"
"Alderina  compressa    O'Donoghue & O'Donoghue, 1926","accepted name","Animalia","WoRMS Bryozoa"
"Alderina  flaventa    Dick, Tilbrook & Mawatari, 2006","accepted name","Animalia","WoRMS Bryozoa"
"Alderina  gorensis    (Uttley, 1951)","accepted name","Animalia","WoRMS Bryozoa"
"Alderina  imbellis    (Hincks, 1860)","accepted name","Animalia","WoRMS Bryozoa"
"Alderina  pacifera    (Gordon, 1986)","accepted name","Animalia","WoRMS Bryozoa"
"Alderina  smitti    Osburn, 1950","accepted name","Animalia","WoRMS Bryozoa"
"Alderina  tuberosa    (Canu & Bassler, 1929)","accepted name","Animalia","WoRMS Bryozoa"
"Allantocallopora  cassidaeforma    d'Hondt & Schopf, 1985","accepted name","Animalia","WoRMS Bryozoa"
"Allantopora  curta    Canu & Bassler, 1929","accepted name","Animalia","WoRMS Bryozoa"
"Allantopora  minuta    (Harmelin, 1973)","accepted name","Animalia","WoRMS Bryozoa"
"Allerescha  dubia    Gordon, 1989","accepted name","Animalia","WoRMS Bryozoa"
"Alysidium  parasiticum    Busk, 1852","accepted name","Animalia","WoRMS Bryozoa"
"Amastigia  abyssicola    (Kluge, 1914)","accepted name","Animalia","WoRMS Bryozoa"
"Amastigia  antarctica    (Kluge, 1914)","accepted name","Animalia","WoRMS Bryozoa"
"Amastigia  antarctica  subtropicalis  Gordon, 1984","accepted name","Animalia","WoRMS Bryozoa"
"Amastigia  benemunita    (Busk, 1884)","accepted name","Animalia","WoRMS Bryozoa"
"Amastigia  biseriata    Osburn, 1950","accepted name","Animalia","WoRMS Bryozoa"
"Amastigia  cabereoides    (Kluge, 1914)","accepted name","Animalia","WoRMS Bryozoa"
"Amastigia  crassimarginata    (Busk, 1884)","accepted name","Animalia","WoRMS Bryozoa"
"Amastigia  fiordica    Gordon, 1986","accepted name","Animalia","WoRMS Bryozoa"
"Amastigia  funiculata    (MacGillivray, 1886)","accepted name","Animalia","WoRMS Bryozoa"
"Amastigia  gaussi    (Kluge, 1914)","accepted name","Animalia","WoRMS Bryozoa"
"Amastigia  harmeri    Hastings, 1943","accepted name","Animalia","WoRMS Bryozoa"
"Amastigia  kirkpatricki    (Levinsen MS in Harmer, 1923)","accepted name","Animalia","WoRMS Bryozoa"
"Amastigia  lanceolata    Liu & Hu, 1991","accepted name","Animalia","WoRMS Bryozoa"
"Amastigia  magna    Gordon, 1986","accepted name","Animalia","WoRMS Bryozoa"
"Amastigia  nuda    Busk, 1852","accepted name","Animalia","WoRMS Bryozoa"
"Amastigia  pateriformis    (Busk, 1884)","accepted name","Animalia","WoRMS Bryozoa"
"Amastigia  puysegurensis    Gordon, 1986","accepted name","Animalia","WoRMS Bryozoa"
"Amastigia  rudis    (Busk, 1852)","accepted name","Animalia","WoRMS Bryozoa"
